	L	H	I	F	B	J	D	E	C	G	K	A
L		0.0128296	0.0131213	0.0129954	0.013647	0.0139954	0.012936	0.0129399	0.0132474	0.0128406	0.013277	0.0150245
H			0.0136527	0.0136546	0.0132308	0.0136525	0.0129618	0.0128187	0.0134413	0.0129341	0.0133751	0.0148395
I				0.013076	0.014214	0.0147697	0.0138412	0.0133822	0.0130237	0.0132611	0.0136173	0.0147823
F					0.0141869	0.014169	0.0134362	0.013324	0.0128423	0.0130638	0.0135089	0.0153473
B						0.0139533	0.0136612	0.0135481	0.0142355	0.0131791	0.0137179	0.0142719
J							0.0130674	0.0135741	0.014495	0.0135984	0.0132632	0.0165978
D								0.0126876	0.0134065	0.0126624	0.0131343	0.0156072
E									0.0134075	0.0124772	0.0126427	0.014943
C										0.0130018	0.0131936	0.0149606
G											0.0126557	0.0142075
K												0.0148056
